Restaurant ID,Restaurant Name,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
303430,Gardenia - Hotel Grenville,"North Indian, Continental, Chinese",1500,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average,15
303486,Call For Cuisine - Hotel Grenville,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
309423,Armory - Hotel Haut.Monde,Finger Food,1000,Indian Rupees(Rs.),Yes,No,No,No,3,2.9,Orange,Average,6
309421,Citron - Hotel Haut.Monde,"North Indian, Chinese, Continental",1300,Indian Rupees(Rs.),Yes,No,No,No,3,2.7,Orange,Average,13
308390,Gabbar Meals,"North Indian, Mughlai",450,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,260
308473,McDonald's,"Fast Food, Burger",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average,90
308997,Crust Bistro,"Italian, Pizza",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,144
308470,Dunkin' Donuts,"Burger, Desserts, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,243
308477,Kabab Roll Cafe,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,121
307786,Starbucks,Cafe,700,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,183
308447,Eggers Madhouse,Fast Food,500,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,647
17977796,Gallery Caf� - Hyatt Place,Cafe,1500,Indian Rupees(Rs.),Yes,No,No,No,3,3.8,Yellow,Good,73
17977757,Coffee to Cocktail Bar - Hyatt Place,Drinks Only,2100,Indian Rupees(Rs.),Yes,No,No,No,4,0,White,Not rated,0
4256,Spice It - Hotel IBIS,"Fast Food, North Indian, Chinese",1000,Indian Rupees(Rs.),Yes,No,No,No,3,2.7,Orange,Average,96
18306548,Nukkadwala,"Fast Food, Street Food",300,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,41
5032,Power Play Resto Bar,"North Indian, American, Italian",1850,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average,91
7472,Daikichi,Japanese,1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.6,Yellow,Good,70
302336,The Atrium - By Jukaso It Suites,"Asian, Bakery",1500,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average,21
8413,Delhi - Kingdom of Dreams,Street Food,500,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,364
8437,Lucknow - Kingdom of Dreams,Lucknowi,1000,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,179
8019,Longitude 77��03' Bar - Le Meridien Gurgaon,Finger Food,1600,Indian Rupees(Rs.),Yes,No,No,No,3,3.4,Orange,Average,23
307416,I-Kandy - Le Meridien Gurgaon,Finger Food,4500,Indian Rupees(Rs.),Yes,No,No,No,4,3.6,Yellow,Good,218
18369743,Bella Cucina - Le Meridien Gurgaon,Italian,4000,Indian Rupees(Rs.),Yes,No,No,No,4,4.1,Green,Very Good,38
307533,Bar Code - Leisure Inn,Finger Food,1900,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,6
307225,Bites - Leisure Inn,"North Indian, Continental, Asian",1400,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,19
307426,Outback Bar and Grill - Leisure Inn,"North Indian, Finger Food",1200,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,10
6700,Citrus Cafe - Lemon Tree Premier,"North Indian, Continental, Chinese",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.2,Orange,Average,137
300538,Ammu's South Indian Restaurant,South Indian,300,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,45
4879,Barista,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,22
18198441,Bengali By Nature,"Fast Food, Chinese, Bengali",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,38
18334445,Burger Planet,"North Indian, Chinese, Fast Food",300,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,21
302920,Cafe Coffee Day,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,20
18430882,Chini Bowl,"Chinese, Thai, Japanese, Tibetan",800,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,15
313204,E Yum,"Continental, Italian, Mexican",750,Indian Rupees(Rs.),No,Yes,Yes,No,2,3.4,Orange,Average,69
